Context_post_signaller,Communication_number
Grooming,201119
Grooming,201157
Traveling,201143
Sexual interaction,202426a
Grooming,201111
Resting,201279
Affiliating,201154
Grooming,201185
Resting,201191
Grooming,201186a
Resting,201179a
Resting,201207
Resting,201048a
Grooming,201190
Grooming,201192
Grooming,201031
Traveling,201220
Feeding,202418
Unknown,201082
Resting,201224a
Other,202184
Resting,201077
Affiliating,201093
Playing,201090a
Resting,201092
Grooming,201325
Resting,201039
Grooming,201194
Traveling,202187
Affiliating,201049a
Affiliating,201236
Affiliating,201242
Traveling,202084a
Grooming,201326
Affiliating,201195
Other,201215
Feeding,201096
Traveling,201043a
Resting,201183a
Resting,201075
Resting,201126
Resting,201127
Traveling,201032
Grooming,201324a
Resting,202415a
Carrying,201125
Resting,201199
Playing,201124
Resting,201231
Grooming,201201
Grooming,201037
Resting,201229
Grooming,201036
Playing,202172
Affiliating,201095
Carrying,201202
Resting,201241
Carrying,201034
Playing,201182a
Affiliating,201080a
Feeding,201203
Resting,201235
Feeding,201035
Resting,202166a
Resting,202181
Grooming,201228
Playing,201237a
Playing,202173
Grooming,201041
Resting,202191
Resting,201122
Traveling,202183
Playing,201083
Grooming,201046a
Traveling,202182
Playing,202188
Resting,201123
Carrying,201232
Playing,201076a
Resting,201086
Carrying,201091
Traveling,201042
Grooming,201233
Playing,202174
Resting,202213
Resting,201129
Resting,202178
Carrying,201184
Resting,202175
Traveling,201045
Feeding,201033
Playing,202176
Traveling,201044
Other,201218
Traveling,201078
Nursing,201181
Carrying,201212
Feeding,201230
Affiliating,201180
Other,201219
Resting,201226a
Grooming,201239
Playing,201205a
Resting,201211
Grooming,201238
Affiliating,201210a
Resting,201081
Playing,201209
Playing,201097
Playing,201208
Grooming,201047a
Affiliating,201244a
Affiliating,201189
Resting,202209
Grooming,201188
Sexual interaction,201398
Grooming,201328
Traveling,201399
Grooming,201396
Other,201407
Grooming,201397
Grooming,201330
Resting,201389
Resting,201348a
Nursing,201401
Traveling,201402
Resting,201418a
Carrying,201943
Resting,201935a
Carrying,202035
Affiliating,201939
Sexual interaction,202448
Feeding,202054
Grooming,202040
Unknown,202449
Sexual interaction,202052
Sexual interaction,202047
Feeding,202080
Unknown,201000
Other,202066a
Nursing,201923
Other,200994
Unknown,200999
